,Title,Genre,Premiere,Runtime,IMDB Score,Language,Premiere Year
508,On My Skin,Crime drama,2018-09-12,100,7.3,Italian,2018
509,Raat Akeli Hai,Thriller,2020-07-31,149,7.3,Hindi,2020
510,ReMastered: Massacre at the Stadium,Documentary,2019-01-11,64,7.3,English/Spanish,2019
511,ReMastered: The Two Killings of Sam Cooke,Documentary,2019-02-08,64,7.3,English,2019
512,Secrets of the Saqqara Tomb,Documentary,2020-10-28,114,7.3,English/Arabic,2020
514,Sky Ladder: The Art of Cai Guo-Qiang,Documentary,2016-10-14,79,7.3,English/Mandarin,2016
515,Team Foxcatcher,Documentary,2016-04-29,90,7.3,English/Russian,2016
517,The Death and Life of Marsha P. Johnson,Documentary,2017-10-06,105,7.3,English,2017
518,The Fundamentals of Caring,Comedy-drama,2016-06-24,97,7.3,English,2016
519,The Other One: The Long Strange Trip of Bob Weir,Documentary,2015-05-22,83,7.3,English,2015
520,American Factory,Documentary,2019-08-21,110,7.4,English,2019
521,Fire in Paradise,Documentary,2019-11-01,39,7.4,English,2019
522,Long Shot,Documentary,2017-09-29,40,7.4,English,2017
523,Miss Americana,Documentary,2020-01-31,85,7.4,English,2020
524,Period. End of Sentence.,Documentary,2019-02-12,26,7.4,English/Hindi,2019
526,Shirkers,Documentary,2018-10-26,97,7.4,English,2018
527,The Black Godfather,Documentary,2019-06-07,118,7.4,English,2019
529,The Speed Cubers,Documentary,2020-07-29,40,7.4,English,2020
530,They'll Love Me When I'm Dead,Documentary,2018-11-02,98,7.4,English,2018
531,Tig,Documentary,2015-07-17,80,7.4,English,2015
533,Blackpink: Light Up the Sky,Documentary,2020-10-14,79,7.5,Korean,2020
534,City of Joy,Documentary,2018-09-07,74,7.5,English,2018
535,Dick Johnson Is Dead,Documentary,2020-10-02,90,7.5,English,2020
536,Homecoming: A Film by Beyonce ,Documentary,2019-04-17,137,7.5,English,2019
538,Joan Didion: The Center Will Not Hold,Documentary,2017-10-27,98,7.5,English,2017
540,Reversing Roe,Documentary,2018-09-13,99,7.5,English,2018
541,The White Helmets,Documentary,2016-09-16,40,7.5,English,2016
542,Athlete A,Documentary,2020-06-24,104,7.6,English,2020
544,Quincy,Documentary,2018-09-21,124,7.6,English,2018
545,Rolling Thunder Revue: A bob Dylan Story by Martin Scorsere,Documentary,2019-06-12,144,7.6,English,2019
546,Tell Me Who I Am,Documentary,2019-10-18,85,7.6,English,2019
547,The Bleeding Edge,Documentary,2018-07-27,100,7.6,English,2018
548,The Social Dilemma,Documentary,2020-09-09,94,7.6,English,2020
